Codigo;Designacao;Qtd;Armazem;CentroDeCusto;Caract;Obs;RefForn;EmbForn;Lote;PrzValidade;PTotal
110000119;;15;1;;;;;;;;
110000123;;25;1;;;;;;;;
110000133;;24;1;;;;;;;;
110000143;;12;1;;;;;;;;
110000189;;422;1;;;;;;;;
110000195;;34;1;;;;;;;;
110000210;;9;1;;;;;;;;
110000218;;949;1;;;;;;;;
110000226;;16;1;;;;;;;;
110000247;;34;1;;;;;;;;
110000261;;98;1;;;;;;;;
110000283;;695;1;;;;;;;;
110000303;;293;1;;;;;;;;
110000335;;27;1;;;;;;;;
110000339;;358;1;;;;;;;;
110000340;;202;1;;;;;;;;
110000352;;87;1;;;;;;;;
110000371;;620;1;;;;;;;;
110000372;;205;1;;;;;;;;
110000385;;14;1;;;;;;;;
110000391;;20;1;;;;;;;;
110000409;;91;1;;;;;;;;
110000413;;3;1;;;;;;;;
110000414;;88;1;;;;;;;;
110000428;;9;1;;;;;;;;
110000436;;20;1;;;;;;;;
110000437;;306;1;;;;;;;;
110000450;;67;1;;;;;;;;
110000459;;14;1;;;;;;;;
110000460;;27;1;;;;;;;;
110000462;;291;1;;;;;;;;
110000505;;33;1;;;;;;;;
110000510;;43;1;;;;;;;;
110000512;;3;1;;;;;;;;
110000513;;4;1;;;;;;;;
110000516;;50;1;;;;;;;;
110000523;;31;1;;;;;;;;
110000552;;18;1;;;;;;;;
110000564;;642;1;;;;;;;;
110000587;;424;1;;;;;;;;
110000591;;78;1;;;;;;;;
110000593;;34;1;;;;;;;;
110000613;;25;1;;;;;;;;
110000620;;44;1;;;;;;;;
110000626;;61;1;;;;;;;;
110000634;;21;1;;;;;;;;
110000637;;1757;1;;;;;;;;
110000644;;81;1;;;;;;;;
110000655;;56;1;;;;;;;;
110000676;;3;1;;;;;;;;
110000683;;129;1;;;;;;;;
110000698;;5;1;;;;;;;;
110000701;;442;1;;;;;;;;
110000710;;175;1;;;;;;;;
110000754;;142;1;;;;;;;;
110000911;;13;1;;;;;;;;
110000935;;9;1;;;;;;;;
110000970;;649;1;;;;;;;;
110000975;;118;1;;;;;;;;
110000976;;37;1;;;;;;;;
110000979;;58;1;;;;;;;;
110000981;;43;1;;;;;;;;
110000982;;48;1;;;;;;;;
110000991;;649;1;;;;;;;;
110001012;;19;1;;;;;;;;
110001100;;3;1;;;;;;;;
110001156;;1947;1;;;;;;;;
110001187;;101;1;;;;;;;;
110001201;;2;1;;;;;;;;
110001228;;208;1;;;;;;;;
110001231;;67;1;;;;;;;;
110001253;;215;1;;;;;;;;
110001275;;39;1;;;;;;;;
110001283;;889;1;;;;;;;;
110001323;;98;1;;;;;;;;
110001349;;113;1;;;;;;;;
110001355;;25;1;;;;;;;;
110001391;;547;1;;;;;;;;
110001401;;49;1;;;;;;;;
110001402;;189;1;;;;;;;;
110001403;;41;1;;;;;;;;
110001410;;10;1;;;;;;;;
110001412;;39;1;;;;;;;;
110001417;;916;1;;;;;;;;
110001437;;295;1;;;;;;;;
110001438;;18;1;;;;;;;;
110001440;;798;1;;;;;;;;
110001445;;826;1;;;;;;;;
110001450;;10;1;;;;;;;;
110001451;;6;1;;;;;;;;
110001452;;11;1;;;;;;;;
110001482;;6;1;;;;;;;;
110001483;;322;1;;;;;;;;
110001487;;78;1;;;;;;;;
110001495;;25;1;;;;;;;;
110001508;;2;1;;;;;;;;
110001519;;929;1;;;;;;;;
110001523;;243;1;;;;;;;;
110001544;;128;1;;;;;;;;
110001545;;43;1;;;;;;;;
110001558;;5;1;;;;;;;;
110001560;;534;1;;;;;;;;
110001564;;2;1;;;;;;;;
110001577;;32;1;;;;;;;;
110001578;;16;1;;;;;;;;
110001581;;76;1;;;;;;;;
110001593;;106;1;;;;;;;;
110001594;;135;1;;;;;;;;
110001609;;1679;1;;;;;;;;
110001630;;11528;1;;;;;;;;
110001634;;76;1;;;;;;;;
110001645;;129;1;;;;;;;;
110001659;;107;1;;;;;;;;
110001678;;100;1;;;;;;;;
110001698;;23;1;;;;;;;;
110001743;;10;1;;;;;;;;
110001747;;114;1;;;;;;;;
110001748;;7;1;;;;;;;;
110001749;;2;1;;;;;;;;
110001753;;1163;1;;;;;;;;
110001772;;1;1;;;;;;;;
110001811;;60;1;;;;;;;;
110001841;;31;1;;;;;;;;
110001869;;110;1;;;;;;;;
110001886;;4;1;;;;;;;;
110001892;;37;1;;;;;;;;
110001917;;11;1;;;;;;;;
110001927;;41;1;;;;;;;;
110001928;;107;1;;;;;;;;
110001930;;14;1;;;;;;;;
110001934;;28;1;;;;;;;;
110001943;;50;1;;;;;;;;
110001965;;116;1;;;;;;;;
110001971;;25;1;;;;;;;;
110001977;;11;1;;;;;;;;
110001984;;109;1;;;;;;;;
110001990;;240;1;;;;;;;;
110002009;;23;1;;;;;;;;
110002034;;388;1;;;;;;;;
110002058;;145;1;;;;;;;;
110002073;;140;1;;;;;;;;
110002105;;51;1;;;;;;;;
110002168;;3;1;;;;;;;;
110002171;;15;1;;;;;;;;
110002174;;38;1;;;;;;;;
110002206;;24;1;;;;;;;;
110002228;;1706;1;;;;;;;;
110002242;;868;1;;;;;;;;
110002265;;5;1;;;;;;;;
110002275;;171;1;;;;;;;;
110002319;;137;1;;;;;;;;
110002333;;292;1;;;;;;;;
110002363;;1;1;;;;;;;;
110002396;;30;1;;;;;;;;
110002402;;12;1;;;;;;;;
110002444;;25;1;;;;;;;;
110002467;;11;1;;;;;;;;
110002506;;1149;1;;;;;;;;
110002512;;107;1;;;;;;;;
110002535;;1;1;;;;;;;;
110002547;;43;1;;;;;;;;
110002590;;27;1;;;;;;;;
110002866;;130;1;;;;;;;;
110002875;;1;1;;;;;;;;
110002902;;268;1;;;;;;;;
110002950;;51;1;;;;;;;;
110003010;;11;1;;;;;;;;
110003011;;7;1;;;;;;;;
110003060;;693;1;;;;;;;;
110003061;;34;1;;;;;;;;
110003090;;28;1;;;;;;;;
110003107;;56;1;;;;;;;;
110003121;;216;1;;;;;;;;
110003180;;93;1;;;;;;;;
110003242;;38;1;;;;;;;;
110003259;;601;1;;;;;;;;
110003260;;79;1;;;;;;;;
110003434;;43;1;;;;;;;;
110003588;;6;1;;;;;;;;
110003639;;4;1;;;;;;;;
110003857;;72;1;;;;;;;;
110003971;;4;1;;;;;;;;
110004094;;67;1;;;;;;;;
110004291;;1;1;;;;;;;;
110004558;;20;1;;;;;;;;
110004669;;1;1;;;;;;;;
110004713;;3;1;;;;;;;;
110004719;;15;1;;;;;;;;
110004722;;19;1;;;;;;;;
110004731;;22;1;;;;;;;;
110004734;;16;1;;;;;;;;
110004736;;8;1;;;;;;;;
110004739;;12;1;;;;;;;;
110004740;;28;1;;;;;;;;
110004750;;5;1;;;;;;;;
110004774;;19;1;;;;;;;;
118027946;;47;1;;;;;;;;
118036888;;362;1;;;;;;;;
118043103;;1071;1;;;;;;;;
